elapsed_s,temp_c,power_mw
167.0868856906891,51.0,4581.0
167.3393156528473,51.0,5040.0
167.59187841415405,51.5,5231.0
167.8445041179657,51.0,5342.0
168.09711289405823,51.0,5151.0
168.34957313537598,52.5,5151.0
168.6027193069458,51.0,5080.0
168.85571718215942,52.0,5603.0
169.11111187934875,51.5,5342.0
169.36368823051453,51.5,5382.0
169.61628341674805,51.0,5191.0
169.8686683177948,51.5,5151.0
170.12129092216492,52.0,5382.0
170.37386322021484,52.0,5533.0
170.6264307498932,51.5,5564.0
170.8793556690216,51.5,5462.0
171.13186168670654,51.0,5231.0
171.38496112823486,50.5,3963.0
171.63782811164856,50.5,3929.0
171.89098572731018,50.5,4119.0
172.14366507530212,49.5,4314.0
172.39633893966675,50.5,5000.0
172.66420912742615,51.5,5713.0
172.9167835712433,51.0,5151.0
173.1693742275238,51.5,5111.0
173.4220311641693,52.0,5302.0
173.6744134426117,52.5,5413.0
173.92704939842224,52.0,5160.0
174.17940974235535,51.5,5008.0
174.4318404197693,50.5,4394.0
174.6843101978302,51.5,4967.0
174.9368600845337,52.0,6091.0
175.18956780433655,51.5,5342.0
175.442134141922,51.5,5564.0
175.70259809494019,51.5,5564.0
175.95526003837585,52.0,5793.0
176.20775151252747,52.0,5643.0
176.4605917930603,51.5,5342.0
176.71358919143677,50.0,4085.0
176.96647596359253,50.5,4468.0
177.21906542778015,51.5,4694.0
177.47147464752197,51.5,5342.0
177.72407698631287,52.5,5643.0
177.9767620563507,52.5,5643.0
178.22991847991943,52.0,5453.0
178.48241639137268,52.5,5573.0
178.73494505882263,51.5,5302.0
178.9872908592224,52.5,5382.0
179.2401475906372,52.0,5603.0
179.49295926094055,53.0,5564.0
179.75149059295654,51.5,5151.0
180.00439500808716,52.0,5382.0
180.25684595108032,52.0,5000.0
180.50916147232056,51.5,4694.0
180.76164197921753,51.5,4314.0
181.01528811454773,51.5,5040.0
181.26773810386658,51.5,5382.0
181.5203356742859,51.5,5080.0
181.7729995250702,52.0,5302.0
182.0255832672119,52.5,5191.0
182.27826380729675,51.0,4887.0
182.53061747550964,51.5,5191.0
182.78313994407654,52.5,5231.0
183.03563261032104,52.5,5564.0
183.28814601898193,52.0,5342.0
183.54053044319153,53.0,5564.0
183.79322695732117,52.0,5382.0
184.04582238197327,52.5,5603.0
184.29909300804138,51.5,5413.0
184.5567488670349,52.5,5453.0
184.80922555923462,51.5,5382.0
185.06207036972046,51.0,5231.0
185.31503796577454,50.0,4044.0
185.56783151626587,50.0,3963.0
185.82064127922058,49.5,3963.0
186.0738286972046,50.0,4314.0
186.3269603252411,51.0,3576.0
186.58424162864685,51.5,5453.0
186.83699369430542,51.5,5040.0
187.08961129188538,51.5,5564.0
187.34217476844788,52.0,5382.0
187.59473037719727,52.5,5311.0
187.8471221923828,52.5,5564.0
188.0994291305542,51.5,5120.0
188.3518009185791,51.5,4622.0
188.60420632362366,52.0,5080.0
188.8569529056549,52.0,5008.0
189.1093111038208,51.5,5413.0
189.3621063232422,54.0,6669.0
189.61478304862976,52.5,5564.0
189.8675513267517,54.5,6160.0
190.12557411193848,52.0,5342.0
190.37815022468567,52.0,5151.0
190.63064169883728,51.0,5342.0
190.88334012031555,50.0,4004.0
191.1359851360321,51.5,4548.0
191.38875198364258,51.5,4775.0
191.64142036437988,52.0,5413.0
191.89758396148682,51.5,5564.0
192.1538383960724,52.0,5413.0
192.41033411026,52.0,5342.0
192.66270685195923,53.0,5713.0
192.915203332901,52.0,5453.0
193.17070293426514,52.0,5603.0
193.42776727676392,53.0,5942.0
193.68105626106262,52.0,5191.0
193.9359426498413,52.0,5000.0
194.18825030326843,52.0,4887.0
194.44055724143982,52.0,4815.0
194.69322156906128,51.5,4314.0
194.94552850723267,51.5,4662.0
195.2042818069458,52.0,5231.0
195.45715308189392,53.0,5302.0
195.71094608306885,52.0,5160.0
195.96485257148743,52.0,5302.0
196.21737718582153,52.0,5231.0
196.46975874900818,52.5,5080.0
196.72209811210632,52.0,5151.0
196.9745922088623,53.0,5643.0
197.22719311714172,52.0,5382.0
197.47958660125732,52.0,5000.0
197.7320737838745,52.0,5603.0
197.98474836349487,53.0,5302.0
198.237380027771,52.0,5674.0
198.49018168449402,52.0,5462.0
198.74271655082703,51.5,5302.0
198.99531245231628,52.0,5342.0
199.2481758594513,51.5,5191.0
199.5008580684662,50.0,4004.0
199.7536816596985,50.0,3929.0
200.00629138946533,50.0,4387.0
200.25891995429993,51.0,4273.0
200.51150226593018,52.0,4967.0
200.7739543914795,52.5,5643.0
201.02959609031677,51.5,5191.0
201.28682231903076,52.0,5533.0
201.53922963142395,52.0,5382.0
201.79168319702148,52.5,5634.0
202.0447609424591,52.5,5564.0
202.29735040664673,52.0,5000.0
202.5499141216278,52.0,4622.0
202.80252051353455,51.0,4501.0
203.0556502342224,53.0,5683.0
203.30791664123535,52.5,5753.0
203.56097650527954,52.5,5533.0
203.8142795562744,53.0,6051.0
204.06757712364197,52.0,5413.0
204.32067918777466,52.5,5564.0
204.57520365715027,51.5,5302.0
204.82781457901,52.5,5263.0
205.0806167125702,51.0,4387.0
205.3341281414032,51.5,4501.0
205.59397721290588,52.0,5263.0
205.84654879570007,52.0,5302.0
206.0990469455719,52.0,5302.0
206.35175776481628,52.0,5302.0
206.6041383743286,52.5,5603.0
206.85706043243408,53.0,5713.0
207.10988998413086,52.0,5573.0
